サークル名 (Circle),"ふりがな (Circle, phonetically)",URL,ジャンル (Genre),Vocal,主な頒布CD (Album),原曲アレンジの程度 (?),一言
sociopath,そしおぱす,http://sociopath98.blog50.fc2.com/,ロック,女,東方玄冬簾～snow stays through the blind～,原曲維持,
solid state supernova,そりっどすてーとすーぱーのば,http://www.s3n-music.com/Top.html,ロック,男女,PLAYMATE,原曲維持,
Sonic Hybrid Orchestra,そにっくはいすぴーどおめが,http://sound.jp/s-h-omega/,メタル、オーケストラ,男女,TOHO Tempestシリーズ,原曲維持,疾走感の有るメタルとシンフォニックなオーケストラの融合。(イール)
sonitus plasmator,そにとぅすぷらすまとる,http://gramsonipla.koborezakura.com/,ポップス、ロック,女,早風星夜,原曲重視～原曲維持,ボーカルを押し出した音少なめなポップス風アレンジ。（Black）
sophia design,そふぃあでざいん,,テクノ、エレクトロ,,東方妙々編楽曲,原曲維持,ミドルテンポのシンプルなビートとテクノ風電子音はBGMにいい。（和泉）
sou1,そういち,http://sou1wp.s1224.com/,テクノ、エレクトロ、トランス、ハウス,,FORBIDDEN GOTTA,原曲維持,ドラムの刻みがかっこいいハウス系です。（和泉）
Sound 01 ,さうんどぜろわん,http://efs.holy.jp/REI7/,ロック、ポップス,女,Phantom,原曲重視,efsとLike a rabbitのコラボサークル。両サークルのヴォーカル曲がメイン。(浅葱)
Sound and Vision,さうんどあんどヴぃじょん,http://soundandvision.web.fc2.com/index.htm,,,東方風林火山,,
Sound Barrage,さうんどばらーじ,http://www.sound-barrage.com/,テクノ、エレクトロ、トランス,女,BEYOND THE DOOR,原曲維持,激しくダーク、ダンサブルなシンセ。（和泉）
Sound Bullet Hell,さうんどばれっとへる,http://s-b-h.syncl.jp/,ロック,男,CRIMSON BULLET HELL,原曲重視,原曲重視の生演奏バンドアレンジ。(浅葱)
Sound Crew -I'll-,さうんどくるーあいる,http://soundcrewill.web.fc2.com/,,,Oriental Grooveシリーズ,,
Sound CYCLONE,さうんどさいくろん,http://cyclone.main.jp/,ロック、ポップス、ジャズ、R&B,男女,feat.RIZE,原曲維持～破壊,よろずアレンジに生演奏＋ヴォーカルを織り交ぜる技術が光る。(イール)
Sound CYCLONE,さうんどさいくろん,http://cyclone.main.jp/,ロック、ポップス、ジャズ、R&B,男女,feat.RIZE,原曲維持～破壊,クラブ系～ロックまで様々なサウンドが特徴！インストもヴォーカルもこなします。（瑞葉）
Sound Escape,さうんどえすけいぷ,http://sound.jp/soundescape/,ハウス、オーケストラ、ピアノ,,東方春幽記,原曲重視,ゆったりとしたオーケストラが多め。(浅葱)
SOUND HOLIC ,さうんどほりっく,http://www.sound-holic.com/,ポップス、ロック、ジャズ、ピアノ,女,SOUND HOLIC MEETS TOHOシリーズ,原曲重視～維持,マルチジャンルをこなす本格派サークル。ヴォーカルアレンジも安定。（イール)
SOUND OCTA,さうんどおくた,http://www.sound-octa.net/,エレクトロ、オーケストラ,,東方幻星録,原曲重視,荘厳なオーケストラアレンジが特徴的。(イール)
Sound Online ,さうんどおんらいん,http://soundonline.info/,トランス,女,Blue Constellations,原曲維持,透明感のあるトランスアレンジ。(イール)
sound sepher,さうんどせふぁー,http://sepher.jp/,ロック、メタル、トランス,,Cradle - 東方幻樂祀典,原曲維持,合同企画CDの先駆者。正統派アレンジが多く外れなし。(イール)
Sound　Square,さうんどすくえあ,http://soundsquare.blog31.fc2.com/,テクノ、トランス、ハードコア,,FragmentS,原曲維持～破壊,スタンダードな四つ打ち系少しハード目。（Black）
SOUND TRIBUTE,さうんどとりびゅーと,http://soundtribute.web.fc2.com/,ポップス、民族、ボーカロイド,女,東方新涼歌,原曲維持,そこはかとなく郷愁を感じさせるメロディに乗せた女声ボーカルやボーカロイド。（Black）
SOUND UNiSON NEST,さうんどゆにぞんねすと,http://soundunison.iza-yoi.net/,ロック、ポップス,男女,悠久の記憶,原曲重視,
Sound./Ecriture,さうんどえくりちゅーる,http://sound-ecriture.com/,オーケストラ、ポップス、テクノ,女,Fantasia～幻想郷幻奏曲,原曲維持,
Sound.AVE,さうんどあべにゅー,http://soundave.net/,テクノ、ハードコア、オーケストラ,女,Raven Inscribe,原曲重視,スピード感の有るテクノアレンジがメイン。(イール)
Sound∞Infinity,さうんどいんふぃにてぃ,http://soundinfinity.iza-yoi.net/,ハードコア、トランス,女,Conclusion,原曲維持,ハイテンションな４つ打ちアレンジ(浅葱)
SoundArk,さうんどあーく,http://soundark.jimdo.com/,テクノ、ドラムンベース、ジャズ、エレクトロニカ、クラシック、ロック,,東方音箱舟参,原曲維持,複数アレンジャーによる軽めのマルチジャンルインストアレンジ。（Black）
SoundChaos,さうんどかおす,http://soundchaos.symphonic-net.com/,トランス、テクノ、ハードコア,,"TEC BOX Ex.2 ～ ""Triple Time Party!!"" ",原曲維持～破壊,面白い３つ打ちサウンド。（浅葱)
SoundRefil,さうんどりふぃる,http://soundrefil.main.jp/home.html,ロック、トランス、エレクトロ,,CrimsonVioret,原曲重視,
Sounds of Liberation,さうんどおぶりべれーしょん,http://www.s-liberation.net/,チップチューン,,Monochrome Anachronism,原曲重視,ファミコン・ゲームボーイなどの懐かしいチップチューンアレンジ。(イール)
"SoundTeam,LORB",さうんどちーむえるおーあーるびー,http://www.lorb.info/,テクノ、エレクトロ、チップチューン,,Little Wonderland,原曲重視,
SOUTH OF HEAVEN,さうすおぶへぶん,http://s-o-h.jp/,ヘヴィメタル、ハードロック,,東方鋼鉄魔,原曲維持,7弦ギターによる重厚感に満ちたヘヴイメタアレンジ。(イール)
Soy-SOUTH,そいそーす,,ロック,男女,珀蘭藍花,原曲維持,和風ロックアレンジ。ギター、ドラムと和楽器・ヴォーカルが見事に融合。(りず)
Spielraum,しゅぴーるらおむ,http://www.freiheitlichraum.net/,トランス,女,Spielraum,原曲維持,シンプルなトランスアレンジ。(浅葱)
Spiral Music,すぱいらるみゅーじっく,http://spiralmusic.sakura.ne.jp/,テクノ、エレクトロ,,Blue Lycoris,原曲維持～破壊,
springmist,すぷりんぐみすと,http://spmis.web.fc2.com/,コーラス,男女,東方紅夜祭～the Scarlet Harmony Festival～,,
Sprite Wing,すぷらいとういんぐ,http://spritewing.com/,ロック、ポップス,女,幻想郷の星雨日和,原曲重視,アップテンポな女性ヴォーカル曲メイン。(イール)
S-STYLE,えすすたいる,http://homepage2.nifty.com/s_style/top2.htm/,ダンス、ハウス、トランス,,花映　～はなうつり～,原曲重視,原曲重視のよろずアレンジ。(イール)
starlight garden,すたーらいとがーでん,http://www.kuronowish.com/~blue-meadow/,クラブ,,Scarlet House,,
StarSky,すたーすかい,http://tohochaosmix.xxxxxxxx.jp/tcm_index.html,テクノ、エレクトロ、ロック、ハードコア、オーケストラ、アカペラ,,TOHO CHAOS MIX,原曲維持,それぞれのジャンルでスタンダードなスタイルのマルチジャンルインストと思いきや最後の全部声アカペラでカオス。（Black）
STEP×STEP,すてっぷすてっぷ,http://jomyda13.kirisute-gomen.com/,トランス、ロック,女,東方魂花～The first acceleration～,原曲維持～破壊,
STORY,すとーりー,,,,CHERRY,,
Stratiotes,すとらてぃおーてす,http://mrsweden.com/,メタル,男,Abstract,原曲破壊,原曲破壊のデスメタルボーカルアレンジ。まさに絶叫。(隆)
Stratosphere,すとらとすふぃあ,,ロック、民族,,純情横恋慕,原曲重視,軽快なリズムの安定したアレンジ。（浅葱)
Stratosphere Glider,すとらとすふぃあ　ぎるだー,http://sound.jp/sglider/,トランス,,Stratosphere Glider ,原曲維持,
strobo head,すとろぼへっど,http://strobohead.nobody.jp/,ロック,,stroboregister,原曲重視,気合の入った男性ヴォーカル。（浅葱)
Studio *.izumi,すたじおいずみ,http://izumism.com/index.html,テクノ、トランス、ロック,,残夏,原曲維持,透明感のあるよろずアレンジ。(浅葱)
Studio “Syrup Comfiture” ,すたじおしろっぷこんふぃちゅーる,http://www.syrufit.jp/,ロック、トランス、エレクトロ、アンビエント,女,Double Counterpoint,原曲破壊,女性ヴォーカルメイン。歌唱力は高いがかなり原曲破壊気味。(浅葱)
Studio de la musique H,すたじおでらむじーくえいち,http://haradamusic.web.fc2.com/,テクノ、エレクトロ、ポップス、ロック,男女,東方Vocal1,原曲維持,いろいろな音を使ったマルチジャンルボーカルアレンジ。（Black）
Studio H.E.X.,すたじおへくす,,テクノ,,人形遣いの夜,原曲維持～破壊,スローテンポなアンビエントテクノアレンジ。(浅葱)
Studio K.N.S. ,すたじおけーえぬえす,http://studiokns.web.fc2.com/Studio_K.N.S./HOME.html,テクノ,,Blooming Apparitions,,
Studio YKK,すたじおわいけーけー,http://d.hatena.ne.jp/studioykk/,テクノ、トランス,,Be insane.,原曲維持,
StudioENTRY,すたじおえんとりー,http://studioentry.web.fc2.com/,,,名無しのCD,,
Stygian Riverside,すてぃじゃんりばーさいど,http://stygian-riverside.at.webry.info/,ハードロック、ヘヴィメタル,,A Tribute to the East Vol.2,原曲維持,スタンダードなHR/HM。(浅葱)
STYLE.S,すたいるえす,,ロック,,東方紅月魂,原曲重視,
SuganoMusic,すがのみゅーじっく,http://sugano.lar.jp/,ユーロビート,女,SuganoMusic 東方アレンジ Vol.1,原曲重視,本格的ユーロビートに女性ヴォーカルがぴったり。(浅葱)
Sugar　Moon ,しゅがーむーん,http://ameblo.jp/sugermoon-akr/,,女,Sweet Sugar,,
sukima sound,すきまさうんど,http://sukimasound.web.fc2.com/,,,Twilice Tone,,
SULFURIC ACID PRODUCT,さるふぁりっくあしっどぷろだくと,http://ryuwave853.blog.fc2.com/,ロック、メタル、エレクトロ、オーケストラ,男,紅白ノ宴-MAIDEN'S FESTIVAL,原曲維持,
Sun Flower Field,さんふらわーふぃーるど,,ロック、バンドアレンジ,男女,Ortensia,,スタンダードありバラードありの何でもロックボーカル。（和泉）
sun3 FielD,さんさんふぃーるど,http://mikomikosun3.blog135.fc2.com/blog-category-1.html,ハードコア、トランス,,狂夜の宴,原曲維持,ノンストップハードコアアレンジ。(浅葱)
surreacheese,しゅーるれあちーず,http://surrea.web.fc2.com/,ジャズ、ポップス,女,RICOTTA,原曲維持,雰囲気のあるサックス演奏。(浅葱)
Susimaru Style,すしまるすたいる,http://homepage3.nifty.com/susimaru-style/,エレクトロ、ピアノ,,悠久のお茶会,原曲重視,
S-wab,すわぶ,http://swab9z.blog97.fc2.com/,メタル,,ameilir redrum,原曲重視,原曲重視のメタルアレンジ。(イール)
SYNC.ARTS,しんくあーつ,http://syncarts.jp/,ポップス、トランス、ロック,女,REQUIEM～幻想に散る少女たち～,原曲重視,ハイレベルな女性ヴォーカルアレンジが魅力。(りず)
SYNCTRON,しんくとろん,http://synctoron.sakura.ne.jp/,,,Uneven Flower,原曲維持,
Syrufit,しろふぃっと,http://www.syrufit.jp/,エレクトロ,女,show me your love,原曲破壊,東方ベースだがオリジナルの要素が強いアレンジ。(浅葱)
System Cafe,しすてむかふぇ,,テクノ、トランス,,Midnight Snow Rain,原曲重視,
T&T,てぃーあんどてぃー,,,,the first tale,,
T.SC,てぃえすしー,http://t-soucha.com/,ユーロビート、トランス,,茶 Vol.1,原曲重視,
ｔ＝NODE,てぃーのーど,http://www.geocities.jp/jza02611/,ピアノ、バイオリン,男,CHANNEL † NODE,原曲重視,勢いのあるピアノ・バイオリンが魅力。(浅葱)
TAMK,たむく,http://tamkbbb.blog106.fc2.com/,,,E.S.S. -water healing-,,
TAMUSIC ,たむしっく,http://tam3.name/,ピアノ、バイオリン、オーケストラ,女,東方バイオリンシリーズ,原曲維持,生演奏によるクラシックアレンジ。コラボ企画も多数。(イール)
TaNaBaTa,たなばた,http://www.tanabata.be/,ロック,男,サクラツナギ,原曲維持,王道なギターロックアレンジとあにー氏の歌声は絶品。(りず)
TaNaBaTa,たなばた,http://www.tanabata.be/,ロック,男,サクラツナギ,原曲維持,切なさをメインに押し出した編曲と男性ヴォーカル:あにーの甘い歌声が癖になります!（瑞葉）
Tantramachine.com,たんとらましーん,http://www.tantramachine.com/,ジャズ、エレクトロニカ、民族,,MagicKal Art,原曲重視,マイナー曲を集めた合同企画。(イール)
TATAMI STUGIWO,たたみすたぢお,http://www.tatami-st.com/,ロック、クラシック,,Progressive Overdrive,原曲維持,力強いドラムが印象的なハードロック。最近はクラシックにも挑戦。(イール
TatshMusicCircle,たっしゅみゅーじっくさーくる,http://tmccd.web.fc2.com/,ロック、テクノ,女,FAR EAST OF EASTシリーズ,原曲維持,王道なアレンジだが一曲の完成度が非常に高い。流石のプロの技術。(イール)
Teadrops,てぃーどろっぷす,http://teadrops.jp/,ロック,女,MoonTears,原曲重視,XL Projectのminteaさんの個人企画CD。しっとりとしたヴォーカルアレンジ。(りず)
Terry　Gould,てりーごうるど,http://kimnara.azlab.info/blog/,,,残響パラダイム,,
TGAStudio(Team Get Away),てぃーじーえーすたじお,http://tga-studio.com/,テクノ、エレクトロ、クラシック,,"PROLOGUE – May 5th, 2235 A.D.",原曲重視,東方アレンジは１曲だけ。ピアノメインのゆったりしたクラシック。（和泉）
the blankets,ざぶらんけっつ,http://www.theblankets.net/,ロック、,男,HAPPY REBIRTHDAY,原曲維持,男性ヴォーカルメインのバンドアレンジ。(イール)
THE ROOTS,ざるーつ,http://theroots.sakura.ne.jp/,バンド,男,HELL YEAH,,
The Universal Mind Rcords,ざうにばーさるまいんどれこーづ,http://tumr.sitemix.jp/,エレクトロクラッ シュ、トランス,男,東方トランスネーションシリーズ,,
Thinktank,しんくたんく,http://www.apazome.net/TTCD-0002/index.html,エレクトロ、ピアノ,男女,revolver,原曲維持,
Thousand Leaves ,さうざんどりーぶす,http://ameblo.jp/tlbach/,メタル・プログレ,男,Blind Night Sorrow,原曲維持～破壊,激しさを前面に押し出したHR/HMアレンジ。(浅葱)
Thousand Stories,さうざんどすとーりーず,http://www.thousand-stories.net/,テクノ、エレクトロ、ロック、オーケストラ、ポップス,女,散牡丹,原曲維持,分厚く大胆な音作りに手堅い女声ボーカル。（Black）
Thrive at Thrice,すらいぶ あっと すらいす,http://thrive-at-thrice.net/,エレクトロ,,東方夢小町,原曲重視,原曲ベースのエレクトロ。ピコピコ音も多少。(麦)
TiaLives,てぃあらいぶす,http://tialives.blog53.fc2.com/,ハードロック、ヘヴィメタル,,音速乱舞!!,原曲重視,速いテンポに独創的なメロディを加えたアレンジ。(浅葱)
Tli-synth,とらいしんす,,ジャズ、ドラムンベース,,Melancholic Road,原曲重視～維持,サックスを中心とした優雅なジャズアレンジ。(隆)
TMGE企画,とうほうてぃえむじーいーきかく,http://tohotmgeproject.web.fc2.com/,ロック、ハードロック,男,Toho Maniac Genuine Encount,原曲維持,エレギメインのロック、ハードロックにいろいろな声色の男声ボーカル。（Black）
TRASHBOX,とらっしゅぼっくす,http://jmybox.web.fc2.com/,,,バースディ,,
Traumerei Fabrik,とろいめらいふぁぶりっく,http://www.traumereifabrik.com/,バンブラ、ロック,,Traumerei Fabrik,,
TRiANCE CODE(eS=S),とらんすこーど,http://triance-code.net/,テクノ、トランス、ポップス,女,テクニカメリア,原曲維持,
TrianceCode,とらいあんすこーど,http://triance-code.net/,テクノ、トランス、ユーロビート,女,Snow Rabbit Express,原曲重視,アップテンポなダンスアレンジに女性ヴォーカルが見事にマッチ。（鰻）
TRiANCE-CODE,とらいあんすこーど,http://triance-code.net/,テクノ、エレクトロ、トランス,,axisX,原曲維持～破壊,手堅い四つ打ち多めのインスト。（Black）
Tribullets,とりぶれっつ,http://tribullets.info/,ハードコア、トランス,,spiral galaxy,原曲維持,ハードコアテクノ好き３サークルによるハードコアユニット。正統派テクノアレンジ。(イール)
TRICHROMATIC ,とりくろあてぃっく,http://www.trichromatic.net/weblog/,テクノ、アンビエント、トランス,,Astral Pulse 〜 東方星脈動,原曲維持～破壊,
Trinity Note,とりにてぃのーと,http://trinitynote.com/,ロック、トランス,女,missing - 鬼が見る夢 -,原曲維持,シンプルなロックやトランスアレンジに女声ボーカルが力強く。（Black）
Triplet 3K,とりぷれっとさんけー,http://www.be-funk.net/Triplet3K/,ポップス,男女,MajLOVE × MinBABY,原曲維持～破壊,Azure&Sands・CYTOKINE・OTAKU-ELITE Recordingsによる合同サークル。ヴォーカルメイン(イール)
tsundeRECords,つんでれこーず,http://www.shiro-suku.com/,,,UnFocusedOpuses,,
Tune-Deley,とぅるーでぃれい,http://tunedeley.web.fc2.com/index.html,トランス、テクノ、ハードコア,,Elec.East Dance,原曲維持,シンプルな四つ打ちにダークなメロ。（Black）
Tutti Sound,とぅってぃさうんど,http://tutti-sound.com/,オーケストラ,,東方交響音楽選,原曲維持,全編フルオーケストラアレンジ。(浅葱)
twinbirds,ついんばーず,http://www.geocities.jp/twinbird2007/index.html,ピアノ,,追憶,原曲重視,原曲に忠実に弾いたピアノアレンジ。（Black）
twith1450,とぅいすいちよんごーぜろ,http://twith1450.ddo.jp/,ダンス、テクノ、エレクトロ,,TOHOMOHO,原曲維持,シンプルなダンス風味。（和泉）
U.C.Works,ゆーしーわーくす,http://www.ucworks.jp/,ハードロック、ロック、テクノ、エレクトロ、トランス,男女,箱庭幻界,原曲維持,ハードなテクノからハードロック男声ボーカル系まで。（Black）
UFO County,ゆーふぉーかんとりー,http://www.geocities.jp/ufo_county/,テクノ、エレクトロ,,UFO County 東方 Arrangement Projectシリーズ,原曲維持～破壊,気味な不思議な電子的アレンジ。（あずさ）
UI-70,ゆうあいななじゅう,http://ui-70.sakura.ne.jp/ui-70/,ハードロック、ヘヴィメタル,,妖蝶乱舞 ～Deadly Dancing Butterfly～,原曲重視～維持,HR/HMと言えばUI-70。疾走感溢れるギターアレンジは必聴。(イール)
UMM&SOLEIL ,ゆーえむえむあんどそれいる,http://sessha.net/,,,夜鳥選集「A」 ,,
UNDEAD CORPORATION,あんでっどこーぽれーしょん,http://deathankou.blog129.fc2.com/,メタル、ハードロック,男女,極鉄,原曲維持～破壊,泣きメロの超高速重低音メタル＆シャウト。（Black）
Undefined field,あんでふぁいんどふぃーるど,http://undefinedmusic.web.fc2.com/,ロック、ダンス、トランス,,Reverse World,原曲維持,
Unionest.NET,ゆにおねすとどっとねっと,,クラブ、ロック,男,花詠束,原曲維持～破壊,合同企画サークル。花映塚・萃夢想・文花帖をアレンジ。(イール)
Unit GrowSphere,ゆにっとぐろうすふぃあ,http://www5.airnet.ne.jp/~krerik/ugs/,ダンス,,終葬蝶,原曲維持,ゆったり系ダンスアレンジ。(悟)
united daft attack,ゆないてっどだふとあたっく,http://www.emptysoulspace.com/,ダンス、テクノ,女,Eastend shoegazer,原曲破壊,ノイズ系ダンスアルバム。(浅葱)
United Under 17 ,ゆないてっどあんだーせぶんてぃーん,http://uu17.blog.shinobi.jp/,ハードロック、メタル,男,Sister's EP,原曲維持,重々しいエレキギターのメロにシャウトデスボイスのメタル風。（Black）
Unity-Gain,ゆにてぃーげいん,http://kakeruichi.mydns.jp/,ジャズ、フュージョン,,O.Z.U ～the Scarlet Noble～,原曲重視,
UnLimited Questions,あんりみてっどくえすちょんず,http://harupaca.blog42.fc2.com/,トランス、テクノ、エレクトロ、オーケストラ,女,そして誰もいなくなった - And Then There Were None -,原曲維持～破壊,ひとひねり加えたアレンジが好印象。（Black）
Unlucky Morpheus,あんらっきーもるふぇうす,http://sound.jp/ankimo/,メタル,女,Unbeatable Accomplice,原曲維持,圧倒的なスピードのメタルアレンジ。インストもヴォーカルもとにかく速い。（イール)
Unprepared Orchestra,あんぷりぺあーどおーけすとら,http://unpp.iza-yoi.net/,オーケストラ、エレクトロ、ピアノ,,Unprepared Orchestra,原曲維持,
Unreal Line,あんりあるらいん,http://www.unreal-line.com/,トランス、ポップス、ピアノ,男女,Uncharted illusion ～東方始発線～,原曲重視,
Unsung　pHine　Split,あんざんぐふぁいんすぷりっと,http://sasakuretoka.soudesune.net/,テクノ、エレクトロ,,ふぁんたじぃわぁるど ざ・げぇむみゅーじっく ,原曲維持,シンプルに原曲メロを活かしたアレンジ。（Black）
UNVALANCE,あんばらんす,http://www.unvalance.com/,テクノ、エレクトロ,,Now Brewing:,原曲維持,郷愁を誘うNINTENDO-DSのソフトを使った打ち込み系インスト。（Black）
US escape,ゆーえすえすけーぷ,http://kachoseason1217.blog106.fc2.com/,テクノ、エレクトロ,,花天月地,原曲維持,ピアノ系メインの哀愁で味付けエレクトロ。（和泉）
USOL,ゆーぞる,,トランス、ユーロビート、ドラムンベース,男,Bullets Master,原曲維持,クラブサウンド系アレンジ。（浅葱)
USUALE,ゆーじゅある,,テクノ、エレクトロ、ゲームミュージック,,東方謙曲集,原曲維持,FF11x1と東方のコラボレーション。(Black)
UtAGe.,うたげ,http://utagemusic.net/,ロック、クラシック、トランス,男女,東方詩循詩歌-marvelous three days-,原曲維持,ギター生演奏からヴォーカル・クラシックまで各ジャンルを幅広くアレンジ。(イール)
VAGUEDGE,ヴぇいじぇっじ,http://vaguedge.info/,ロック、ジャズ、エレクトロニカ,女,東方夢叶幻想日記,原曲維持,多彩なジャンルだが各曲それぞれに味のあるアレンジ。(隆)
Valford Project,う゛ぁるふぉーどぷろじぇくと,http://heine626.blog86.fc2.com/,,,,,
VIDUACCENT,ヴぃじゅあくせんと,,トランス、エレクトロ,,es,原曲維持,透明感あるトランス。女声ボーカルもところどころに。（Black）
Viento Del Norte,ヴぃえんとでるのるて,http://v-d-n.net/,エレクトロ、トランス,,Pleasurable Note,原曲重視,
VIGNETTE HOUSE ,ヴぃねっとはうす,http://vignettehouse.com/,ロック、エレクトロ,男女,幻創Garden,原曲維持,
Villain(毒霧),う゛ぃれいん,,トランス、テクノ、ハードコア,,魘 -En-,原曲維持,緋想天の曲を多数著名アレンジャーでアレンジ。（Black）
VIOLET FIZZ ,ヴぁいおれっとふぃず,http://studiof.at-ninja.jp/,トランス、ハウス、アンビエント,,Wave in the east ,,
VisualWorkStation,びじゅあるわーくすてーしょん,http://visualworkstation.net/,ロック、テクノ、エレクトロ、トランス,女,暁 -DAWN-,原曲維持,定番のダンスポップボーカルなど手堅い打ち込み系アレンジ。（Black）
vivix,ヴぃヴぃえくす,http://www.vivix.info/,オーケストラ、ロック,,Colors,原曲維持,Cradle - 東方幻樂祀典・Canon - 東方幻奏祀典2 の2曲を収録。(イール)
VOCNONO(えむないんこーぽれーしょん),う゛ぉくのの,http://blog.livedoor.jp/m9_akita/,トランス,,東方疾走曲,原曲重視,
WAS Records,わずれこーず,http://sound.jp/was/,ハードコア、トランス,,東方鐘静蒐,原曲重視,
wasaG,わさじー,,チップチューン、ジャズ,,はくこれ,原曲破壊,ジャズ、バイオリンなど落ち着いたアレンジ。(イール)
WASS A SEASON,わずあしーずん,http://overdreamer.blog49.fc2.com/,,,初夏 -early summer-,,
Water.Club.,うぉーたーくらぶ,http://waterclub.web.fc2.com/Water.Club./Top.html,,,東方ブレイクビーツ　vol.5,,
WAVE,うぇいぶ,http://www.circle-wave.net/,トランス、オーケストラ,女,ARCHIV-EAST,原曲維持,オケアレンジ好きにおすすめ。完成度が非常に高い。(イール)
WAVEDRIVE,うぇいぶどらいぶ,http://www.ab.auone-net.jp/~siv/,ロック、エレクトロ,,虚舟 UTZROBUNE,原曲重視,
wH,だぶるえっち,http://sm.2-d.jp/,エレクトロ,,東方＋α,原曲維持～破壊,
Whiskycat Work,ういすきーきゃっとわーく,http://www.geocities.jp/trick_or_steal/,トランス,,Ancient radiance,原曲維持,
Whisper Records,うぃすぱーれこーず,http://www11.plala.or.jp/whispers/,民族,,phantasmagoria,原曲破壊,汐凪 くじら氏の世界観を現した独特なアレンジ。(イール)
White Elephant,ほわいとえれふぁんと,http://succu.s1.bindsite.jp/,ロック、トランス,女,Take it to the limiting ,原曲維持,スピード感溢れるハイレベルな女性ヴォーカルアレンジ。(浅葱)
white falls,ほわいとふぉーるず,http://hakuginn220.web.fc2.com/,アコースティック、ドラムンベース,,Early works ,原曲維持,聞いていて楽しいアレンジ。テンポがよい。(UR)
White Magic,ほわいとまじっく,http://whitemagic2010.web.fc2.com/,,,古明地姉妹でオルゴールっぽいなにか,,
WhiTECHNO,ほわいてくの,http://www.whitechno.org/,トランス、ハードコア、ハウス,,東方OVERDRIVE,原曲維持,
WILD CAT RECORD,わいるどきゃっとれこーど,http://wildcatrecord.bake-neko.net/,メタル,,東方妖幻奏,原曲維持,重低音の響くブラックメタル。(浅葱)
Windbreaker,ういんどヴれいかー,http://ameblo.jp/windbreaker-dkmn/,,,あーやややや やややぁ!,,
winter tune,ういんたーちゅーん,http://park22.wakwak.com/~funifuni/,オーケストラ、エレクトロ,,東方Mix,原曲維持,
Wonder Girl Syndrome,わんだーがーるしんどろーむ,http://wgs.kagome-kagome.com/,,,Demonstration02,,
XL Project,えっくすえるぷろじぇくと,http://www.xlproject.cc/,ハウス、ロック、ドラムンベース,女,the starry sky,原曲維持,コンセプトアルバムが多い。技術は安定。(イール)
XOTIC ,えきぞちっく,,ロック、ダンス、エレクトロ,女,Poltergeist,原曲維持,マルチジャンル女声ボーカルスタイル。（Black）
X飛鳥実験室,あすかじっけんしつ,http://asklab.web.fc2.com/,,, PSYCHOPATH,,
Yonder Voice,よんだーぼいす,http://www.yaoshanbailing.info/,トランス、テクノ、エレクトロ,女,Shrine Maiden Promotion Disc,原曲維持,少しダークなダンス系ポップスに女声ボーカル。中国のアレンジャー。（Black）
You-ing Factory,ゆーいんぐふぁくとりぃ,http://www.netlaputa.ne.jp/~kyou/,テクノ、エレクトロ,,無料配布CD,原曲維持,シンプルだが表情豊かな打ち込み。（和泉）
YuelStudio.org,ゆえるすたじお,http://yuelstudio.org/,ポップス、エレクトロ,女,片道切符,原曲重視,
ZDN,ぜっとでぃーえぬ,http://kantanbay.org/,エレクトロ,,東方挫折盤,原曲維持～破壊,東方とＦＦの融合アレンジ。(浅葱)
Zephill,ぜふぃ～る,http://zephill.sakura.ne.jp/,エレクトロ、ロック,女,天空の摩天楼,原曲重視,
Zephyr-Cradle,ぜふぁーくれいどる,http://www.zephyr-cradle.info/,テクノ、エレクトロ、トランス、メタル、ロック、ハウス、エレクトロニカ,男女,Celestia9,原曲維持,東方アレンジは心持ちダークめなエレクトロハウス、多数のアレンジャーが集まって様々な曲をアレンジしたマルチジャンル。（Black）
ZEROSUMGAME TRAXXX,ぜろさむ・げーむ　とらっくす,,テクノ、トランス、ハードコア,,FAR-EAST JUMPFREAKZ,原曲重視,
ZIGGELL WORKS,じげるわーくす,,メロコア,男,ATTACK FROM THE FAR TOHO,原曲維持～破壊,
ZIP-DE-KURE,じっぷでくれ,http://www.zip-de-kure.com/,クラシック、エレクトロ、ロック、和楽器,,境界上のクランクファルベ（試食版）,原曲維持,西洋楽器と和笛のコラボレーションインスト。（Black）
ZWEi-ツヴァイ-,つヴぁい,http://www.team-zwei.com/,エレクトロ,,TOHO summer ARRANGE,原曲重視,
ZWEi-ツヴァイ-,つヴぁい,http://www.team-zwei.com/,エレクトロ,,TOHO summer ARRANGE,原曲重視,
あーとす,あーとす,http://ahtos.net/,,,おとのスキマ ～ medley of fantasy,,
アールグレイ,あーるぐれい,http://cooth.org/eg/,ポップス、エレクトロ,女,東風谷早苗のDOKIDOKIディスク,原曲維持,ミニドラマから音声まで手がけている。ボーカルアレンジは所謂主題歌っぽい。(AAA)
アール工房,あーるこうぼう,http://rkobo.blog63.fc2.com/,ロック,,Circle of rebirth,原曲維持,静かなポストロック風あり激しい疾走ありの飽きさせないロックインストアレンジ。（和泉）
アイゼットファブリーク,あいぜっとふぁぶりーく,http://azfabrik.uunyan.com/,,,アイゼットファブリークののこりぢる,,
アトリエとびうお,あとりえとびうお,http://harumachi.pepper.jp/,民族、アコースティック,,東方地霊祭デモCD,原曲維持,郷愁と透明感のある幻想的な民族風インストアレンジ。（Black）
アドレナ義塾,あどれなぎじゅく,http://zyukucho.sakura.ne.jp/,ロック、メタル,男,サトリ　サトラレ,原曲維持,
